dtSta070DateTime,iSta070OverAllResult,rSta070CycleTime,iSta070CapNutTypeResult,iSta070OMVSpringResult_PI,rSta070NozzlePreLoadForce,rSta070NozzlePreLoadPosition,iSta070StackBuildResult,rSta070CapNutTorque,rSta070CapNutTorqueAngle,rSta070CapNutFinalAngle,iSta070CapNutAssemblyResult
10/09/2021 20:56,1,15.436,1,1,65,114.75,1,3.273108,2219.188,1762.253,1
10/09/2021 21:11,1,15.316,1,1,65,114.75,1,3.258733,2388.395,1931.517,1
10/09/2021 20:57,1,15.231,1,1,65,114.83,1,3.231809,2349.925,1892.741,1
10/09/2021 20:57,1,15.522,1,1,65,114.75,1,3.197282,2309.312,1848.896,1
10/09/2021 20:58,1,15.351,1,1,65,114.75,1,3.203121,2448.321,1992.333,1
10/09/2021 20:59,1,13.871,1,1,65,114.83,1,3.181421,2375.818,1917.245,1
10/09/2021 21:02,1,13.6,1,1,65,114.84,1,3.169856,2468.15,2011.724,1
10/09/2021 21:09,1,13.89,1,1,65,114.81,1,3.205449,2231.491,1774.875,1
10/09/2021 21:09,1,13.396,1,1,65,114.78,1,3.188347,2091.841,1634.724,1
10/09/2021 21:09,1,14.009,1,1,65,114.75,1,3.201575,2433.259,1977.201,1
10/09/2021 21:10,1,15.743,1,1,65,114.81,1,3.23209,2393.996,1935.567,1
10/09/2021 21:10,1,15.657,1,1,65,114.75,1,3.222023,2286.404,1829.486,1
10/09/2021 21:11,1,15.639,1,1,65,114.75,1,3.249079,2430.797,1973.925,1
10/09/2021 21:12,1,15.709,1,1,65,114.75,1,3.205571,2382.256,1923.494,1
10/09/2021 21:12,1,15.64,1,1,65,114.75,1,3.184931,2138.639,1680.923,1
10/09/2021 21:13,1,14.975,1,1,65,114.75,1,3.222226,2332.782,1875.602,1
10/09/2021 21:14,2,15.506,1,1,65,114.75,1,3.668324,740.642,0,2
10/09/2021 21:16,1,13.6,1,1,65,114.75,1,3.21415,2361.253,1904.045,1
10/09/2021 21:17,1,14.86,1,1,65,114.77,1,3.203521,2167.206,1710.698,1
10/09/2021 21:17,1,15.281,1,1,65,114.77,1,3.230911,2252.775,1795.027,1
10/09/2021 21:22,2,15.281,1,1,65,114.77,1,0.7423748,3000.726,0,2
10/09/2021 21:22,1,16.098,1,1,65,114.77,1,3.235755,2311.766,1853.641,1
11/09/2021 14:29,1,0,1,1,65,114.89,1,3.447278,2167.88,1710.685,1
11/09/2021 14:29,1,12.936,1,1,65,114.8,1,3.458329,2171.437,1714.276,1
11/09/2021 14:30,1,15.2,1,1,65,114.78,1,3.428302,2360.847,1902.057,1
,,,,,,,,,,,
,,,,,,,,,,,
11/09/2021 14:37,1,12.833,1,1,65,114.81,1,3.464589,2310.424,1854.3,1
11/09/2021 15:39,1,13.482,1,1,65,114.81,1,3.441213,2054.507,1597.467,1
11/09/2021 15:40,1,12.053,1,1,65,114.81,1,3.430407,2102.474,1645.68,1
11/09/2021 15:40,1,12.988,1,1,65,114.81,1,3.455728,2141.146,1683.65,1
11/09/2021 16:37,1,12.92,1,1,65,114.8,1,3.458791,2086.736,1628.134,1
11/09/2021 16:37,1,11.12,1,1,65,114.8,1,3.478763,2311.084,1853.946,1
11/09/2021 16:37,1,13.499,1,1,65,114.81,1,3.468271,2374.728,1917.742,1
11/09/2021 16:38,1,13.616,1,1,65,114.8,1,3.44402,2169.13,1711.976,1
,,,,,,,,,,,
11/09/2021 16:41,1,13.125,1,1,65,114.8,1,3.461482,2089.641,1631.885,1
11/09/2021 17:12,1,11.013,1,1,65,114.8,1,3.437965,2099.876,1642.153,1
11/09/2021 17:16,1,11.067,1,1,65,114.8,1,3.439999,2412.501,1953.975,1
11/09/2021 17:21,1,11.798,1,1,65,114.8,1,3.429707,2161.551,1701.659,1
11/09/2021 17:28,1,11.188,1,1,65,114.81,1,3.447522,2368.268,1909.424,1
11/09/2021 17:29,1,13.6,1,1,65,114.83,1,3.403003,2205.509,1748.569,1
11/09/2021 17:32,1,13.209,1,1,65,114.83,1,3.444143,2419.405,1962.412,1
11/09/2021 17:35,1,13.77,1,1,65,114.83,1,3.429263,2338.521,1879.924,1
11/09/2021 17:37,1,11.696,1,1,65,114.83,1,3.434358,2065.599,1608.399,1
11/09/2021 17:37,1,10.999,1,1,65,114.83,1,3.474646,2112.21,1653.457,1
11/09/2021 17:38,1,12.938,1,1,65,114.83,1,3.429525,2157.392,1700.385,1
11/09/2021 17:46,1,12.987,1,1,65,114.83,1,3.444012,2349.25,1891.592,1
11/09/2021 17:47,1,11.679,1,1,65,114.86,1,3.4166,2213.48,1756.081,1
11/09/2021 17:47,1,14.826,1,1,65,114.86,1,3.478885,2364.265,1907.513,1
11/09/2021 17:48,1,15.318,1,1,65,114.83,1,3.442786,2301.109,1844.611,1
11/09/2021 17:48,1,15.165,1,1,65,114.83,1,3.475823,2192.669,1735.669,1
11/09/2021 17:49,1,14.824,1,1,65,114.83,1,3.459528,2276.706,1820.812,1
11/09/2021 17:49,1,15.045,1,1,65,114.81,1,3.437346,2179.507,1720.815,1
11/09/2021 17:49,1,14.791,1,1,65,114.81,1,3.457632,2063.519,1606.203,1
11/09/2021 17:50,1,14.535,1,1,65,114.8,1,3.467302,2121.574,1664.163,1
11/09/2021 17:50,1,14.637,1,1,65,114.8,1,3.508127,2146.859,1690.179,1
11/09/2021 17:50,1,14.791,1,1,65,114.8,1,3.48985,2102.634,1644.734,1
11/09/2021 17:51,1,14.519,1,1,65,114.8,1,3.481982,2307.955,1851.178,1
11/09/2021 17:51,1,15.131,1,1,65,114.8,1,3.433046,2251.264,1795.269,1
11/09/2021 17:52,1,14.942,1,1,65,114.8,1,3.457076,2175.713,1718.397,1
11/09/2021 17:52,1,14.774,1,1,65,114.8,1,3.426136,2351.45,1892.623,1
11/09/2021 17:52,1,15.182,1,1,65,114.8,1,3.450293,2126.427,1670.31,1
11/09/2021 17:53,1,14.671,1,1,65,114.8,1,3.420468,2050.951,1593.966,1
13/09/2021 16:06,1,0,1,1,65,114.89,1,3.520644,2186.416,1730.578,1
13/09/2021 16:10,1,14.79,1,1,65,114.81,1,3.438844,2369.223,1912.174,1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
13/09/2021 16:40,2,13.412,1,1,65,114.81,1,0.8248585,3500.633,0,2
13/09/2021 16:40,1,15.284,1,1,65,114.81,1,3.476279,2147.44,1690.527,1
13/09/2021 16:40,1,12.919,1,1,65,114.78,1,3.455442,2315.067,1856.211,1
,,,,,,,,,,,
13/09/2021 16:46,1,13.331,1,1,65,114.78,1,3.445057,2278.85,1819.368,1
13/09/2021 16:46,1,13.226,1,1,65,114.78,1,3.438517,2184.327,1726.451,1
13/09/2021 16:46,1,12.953,1,1,65,114.78,1,3.442636,2355.138,1898.891,1
13/09/2021 16:47,1,15.318,1,1,65,114.84,1,3.437509,2315.488,1859.659,1
13/09/2021 16:47,1,13.26,1,1,65,114.84,1,3.440125,2222.019,1766.103,1
13/09/2021 16:47,1,14.944,1,1,65,114.8,1,3.439604,2315.563,1858.911,1
13/09/2021 16:48,1,13.414,1,1,65,114.78,1,3.449131,2344.988,1887.892,1
13/09/2021 16:48,1,15.283,1,1,65,114.8,1,3.417137,2096.751,1639.883,1
13/09/2021 16:53,1,12.852,1,1,65,114.8,1,3.450953,2146.993,1690.373,1
13/09/2021 16:53,1,12.852,1,1,65,114.8,1,3.458943,2251.678,1793.292,1
13/09/2021 16:53,1,14.094,1,1,65,114.8,1,3.522266,2170.534,1714.4,1
13/09/2021 16:53,1,14.722,1,1,65,114.8,1,3.487946,2187.346,1728.902,1
13/09/2021 16:54,1,14.877,1,1,65,114.81,1,3.494586,2139.152,1680.96,1
13/09/2021 16:54,1,14.79,1,1,65,114.81,1,3.456275,2339.18,1882.949,1
13/09/2021 16:55,1,15.213,1,1,65,114.81,1,3.384075,2135.504,1679.506,1
13/09/2021 16:55,1,14.753,1,1,65,114.81,1,3.449062,2012.765,1553.155,1
13/09/2021 16:55,1,14.347,1,1,65,114.81,1,3.409342,2288.629,1830.755,1
13/09/2021 16:56,1,15.063,1,1,65,114.8,1,3.452736,2208.121,1750.661,1
